Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;DATE;HEURE
31014665;ROULEAU  ALUMINIUM 200M       ;2.000;CONFORT DE LA MAISON          ;31;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:44:35
24000044;ESCALOPE DE DINDE LS          ;12.500;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:53:44
21000160;MELANGE POISSON               ;8.300;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:53:57
21000160;MELANGE POISSON               ;8.700;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:54:40
24000012;COMPENSE AVANT INCOMP SOUS VID;11.045;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:54:53
24000004;CUISSE POULET LS              ;11.790;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:55:45
15002692;CREVETTE DECORTIQUEE100 2001KG;10.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;11:01:33
15000507;PAIN COMPLET  PANINO 400 GRS  ;5.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;14:21:50
22000088;TOMATE CERISE                 ;0.396;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;14:22:06
22000113;PERSIL  BOTTE                 ;7.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;14:22:26
22001284;MELANGE MERGAZE INDIEN        ;10.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;15:20:15
22000139;CITRON VERT LOCAL             ;1.082;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;15:20:38
15002026;10 FEUILLES DE BRICK AUX HERBE;8.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;15:33:25
24000012;COMPENSE AVANT INCOMP SOUS VID;20.590;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;15:48:50
15001410;FILET DE SOLE (PANGA) VRAC    ;6.835;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;15:49:02
24000038;POULET ENTIER LS              ;12.785;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;15:49:19
24000062;CUISSE DE DINDE SANS OS LS    ;8.300;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:53:33
24000153;MERGUEZ SPECIAL ARDIS         ;0.864;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:53:22
24000006;BRECHET POULET LS             ;17.100;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:53:08
14005240;CHAMPIGNON BLANCHAUD 400G     ;48.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:47:18
14013778;POIS CHICHE VERRE BONO 570G   ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:47:33
24000012;COMPENSE AVANT INCOMP SOUS VID;3.180;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:47:48
22000415;POIVRE NOIR MOULU             ;1.090;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:48:06
24000153;MERGUEZ SPECIAL ARDIS         ;0.676;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:48:19
22000825;OLIVES VERTES DENOYAUTEES     ;6.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:48:31
22000839;OLIVES DENOYAUTEES COUPEES    ;6.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:48:41
22000090;CAROTTE                       ;1.954;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:48:54
22000092;TOMATE RONDE 55 65            ;12.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:49:07
24000012;COMPENSE AVANT INCOMP SOUS VID;12.470;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:49:22
15001920;COCKTAIL DE MER SACHET 500 GR ;7.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:49:51
15001485;ANNEAUX DE CALAMAR 1KG        ;6.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:50:01
14010881;RIZ SUP  BASMATI ETUVE 5KG    ;3.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:50:11
11001531;INDUSTRIEL 02 ROULEAUX        ;7.000;DROGUERIE                     ;11;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:50:21
22000090;CAROTTE                       ;1.514;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;10:50:45
15004790;EPINARDS BRANCH BONDUELLE400G ;8.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;27/04/2018 ;15:49:37
